,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Angptl3,log2FC_Angptl3_vs_NT
Cars,-0.031006597,3.673968798,-0.107905791,0.915661924,0.974953794,-6.240550282,12.24499867,11.9846354,-0.031006597
Nol12,-0.031232855,2.986446619,-0.253619512,0.803621288,0.929049452,-6.213374439,7.164051333,7.0106238,-0.031232855
Ssu72,-0.031274643,4.760622774,-0.434186253,0.67103019,0.872542581,-6.149737427,26.59789667,26.027514,-0.031274643
Enpp3,-0.031317679,4.891921413,-0.015899408,0.987547842,0.998212642,-6.246441022,30.84562,30.183246,-0.031317679
Yipf5,-0.031322163,5.544249499,-0.306579748,0.763853124,0.912013871,-6.198117594,47.63099333,46.608028,-0.031322163
Dnajc13,-0.031418185,2.852764644,-0.142640456,0.888686719,0.965239929,-6.236053227,6.395754,6.2579766,-0.031418185
Cep43,-0.031420759,3.420914686,-0.128503251,0.899650453,0.968480733,-6.238033654,10.35996067,10.1367682,-0.031420759
Plg,-0.03146405,11.31001519,-0.241552291,0.812767072,0.933453327,-6.216451445,2615.619667,2559.1926,-0.03146405
Nhlrc3,-0.031506372,2.630213735,0.169825313,0.86767277,0.95533085,-6.231666712,5.43907,5.3215762,-0.031506372
Rab8a,-0.031539547,5.01099164,-0.39949622,0.695792775,0.882576939,-6.164502394,31.82451333,31.13633,-0.031539547
Papolg,-0.031546657,1.805405082,-0.120159054,0.90613176,0.971605909,-6.239105887,2.589975333,2.5339564,-0.031546657
Snrpe,-0.031600633,4.277598969,-0.372475515,0.715336388,0.892125768,-6.17517199,18.86603667,18.45729,-0.031600633
Pxylp1,-0.03173301,1.771583771,0.062766067,0.95087506,0.986458687,-6.24453385,2.483291667,2.4292664,-0.03173301
Zmynd11,-0.031740403,3.488732529,-0.233490698,0.818892973,0.934885,-6.218424241,10.653597,10.4217692,-0.031740403
Zbtb8os,-0.03184712,3.74697834,-0.275325006,0.787246701,0.923083646,-6.207466249,12.57134667,12.296878,-0.03184712
Ndufaf2,-0.031866866,2.874835048,-0.329541913,0.746816769,0.904772698,-6.190618831,6.489805,6.348027,-0.031866866
Rap1a,-0.031906406,5.213119758,-0.430321065,0.673770297,0.874736168,-6.151441719,39.10101333,38.245754,-0.031906406
Slc18a2,-0.031916211,1.017385672,-0.148002894,0.884534096,0.963998645,-6.235248166,1.247768833,1.220468,-0.031916211
Alg5,-0.031997701,4.111649554,-0.318397719,0.755068424,0.908900857,-6.194324761,16.38938667,16.029886,-0.031997701
Ss18l2,-0.032110828,4.006427017,-0.263076027,0.79647498,0.927091507,-6.210859368,15.93358667,15.582862,-0.032110828
Dpp3,-0.032147626,5.650019415,-0.275091362,0.78742242,0.923088912,-6.207532399,49.01039667,47.930374,-0.032147626
Mbd6,-0.032174799,5.300213662,-0.233027424,0.819245388,0.935087169,-6.218535594,39.82246333,38.944178,-0.032174799
Cyb5r3,-0.032194711,8.229553853,-0.358716361,0.72536974,0.896043287,-6.180324095,301.6420333,294.98524,-0.032194711
Dync1i2,-0.032213331,3.354865427,-0.347963607,0.733247652,0.89915529,-6.184218101,9.619336333,9.4069304,-0.032213331
Lrit2,-0.032267688,2.135006633,-0.179620588,0.860125588,0.952392081,-6.22989991,3.331264667,3.2575838,-0.032267688
Rfx3,-0.03234318,0.602425119,-0.122169884,0.904569204,0.970746063,-6.23885406,0.574717133,0.56197614,-0.03234318
Sorbs2,-0.032521406,2.62058141,-0.175278407,0.863469494,0.953403586,-6.230695286,5.265327667,5.1479638,-0.032521406
Cadm1,-0.032591324,2.472067902,-0.324793835,0.75032857,0.907113577,-6.19221311,4.565282,4.4633058,-0.032591324
Mtr,-0.032666633,2.024756591,-0.079290785,0.937967758,0.982464259,-6.243319798,3.232557667,3.160186,-0.032666633
Prkaa1,-0.032686889,3.045766937,-0.244634618,0.810428198,0.9321933,-6.215679615,7.661447,7.4898146,-0.032686889
Rwdd4a,-0.032696106,4.148786681,-0.435765109,0.669912307,0.872542581,-6.149036997,17.80629333,17.407284,-0.032696106
Myo1b,-0.032712403,5.093735414,-0.288912385,0.777048963,0.91926779,-6.203523913,33.83570333,33.077128,-0.032712403
Cln8,-0.032863802,3.470356784,-0.033470736,0.973790333,0.994439644,-6.245992217,11.334609,11.0793314,-0.032863802
Ctsa,-0.032869418,6.172729614,-0.255829777,0.801949319,0.928549919,-6.212794754,71.52500333,69.913848,-0.032869418
Rmnd5a,-0.032941883,5.414234431,-0.244670188,0.810401219,0.9321933,-6.215670651,42.73712667,41.772342,-0.032941883
Lipa,-0.032954108,6.533315623,-0.016539431,0.987046634,0.998152864,-6.24643028,94.40493,92.27297,-0.032954108
Wdr76,-0.033012999,0.890679474,-0.123191543,0.90377546,0.970346296,-6.238724515,0.917439633,0.89668436,-0.033012999
Mrps17,-0.033017672,3.520658438,-0.381594599,0.708716574,0.889067105,-6.171652788,10.77076167,10.5270602,-0.033017672
Dnase2a|Gm38426,-0.033117222,2.940196168,-0.156880344,0.877667305,0.961079503,-6.233850329,6.849671,6.694227,-0.033117222
Higd2a,-0.033259414,7.692272596,-0.471271635,0.644991831,0.861182222,-6.13263463,207.4354667,202.70802,-0.033259414
Fads2,-0.033273048,9.353902789,0.219512897,0.829543562,0.940281991,-6.221687399,663.9069667,648.77042,-0.033273048
Bbs9,-0.033293498,1.431635546,-0.156655295,0.877841258,0.961079503,-6.233886767,1.779267867,1.73867734,-0.033293498
Ppp3cb,-0.03330365,3.067047705,-0.19810142,0.845925568,0.947822836,-6.226298177,7.820273667,7.6418156,-0.03330365
Tmem234,-0.033418371,4.944737517,-0.463546783,0.650377229,0.86423513,-6.136308969,30.77879333,30.074032,-0.033418371
Ccl3,-0.033576702,0.946975736,0.173083746,0.865160641,0.954169397,-6.231089922,1.0278639,1.00421804,-0.033576702
Mkrn2os,-0.033581324,4.066016731,-0.236465741,0.816630816,0.934442973,-6.21770393,15.92319667,15.556836,-0.033581324
Ddx56,-0.033592439,4.409890378,-0.392634697,0.700734986,0.885573381,-6.167280905,19.58024333,19.129594,-0.033592439
Msra,-0.033593096,5.871856562,-0.51479114,0.615045549,0.847738556,-6.110841181,56.97470333,55.663376,-0.033593096
Pcmtd1,-0.033668706,5.15856737,-0.256725019,0.801272395,0.928534704,-6.212558542,37.23429333,36.375404,-0.033668706
Kdm1a,-0.033685421,2.913862162,-0.210316911,0.836569817,0.943490428,-6.22372521,6.891486,6.732441,-0.033685421
C1qtnf6,-0.033706551,0.880937083,-0.058121483,0.954505652,0.986786356,-6.244824264,0.859117967,0.83927854,-0.033706551
Pfdn2,-0.033858739,5.271250622,-0.320479301,0.753524725,0.908214765,-6.193642073,38.66048,37.763718,-0.033858739
Med31,-0.033872455,2.173208054,-0.286848631,0.77859517,0.919768992,-6.204134782,3.936694667,3.8453432,-0.033872455
Mvb12a,-0.033883194,4.827360926,-0.398134302,0.6967726,0.883162826,-6.165057627,27.15791,26.52751,-0.033883194
Ctsh,-0.033895113,6.899293967,-0.497620052,0.62678002,0.852950162,-6.119661261,120.8039533,117.99883,-0.033895113
Pld2,-0.033906474,1.994290568,0.17463006,0.863969021,0.953701313,-6.230812384,3.253044,3.1774818,-0.033906474
Sdhaf4,-0.033918288,4.489694315,-0.309912137,0.761372552,0.911418864,-6.19706241,21.76135,21.2557,-0.033918288
Snrpf,-0.033938276,3.856004433,-0.278126991,0.785140325,0.922201773,-6.206668615,14.07288,13.74569,-0.033938276
Mir1929,-0.033987873,1.151349035,-0.235807839,0.817130924,0.934619304,-6.217863999,1.905589333,1.861221,-0.033987873
Col5a1,-0.034190423,1.492681468,-0.052524433,0.958882164,0.98894894,-6.245144598,1.8635377,1.81989294,-0.034190423
Fam193b,-0.034217196,3.954890965,-0.423786015,0.678414098,0.876771312,-6.154289543,15.02547667,14.673302,-0.034217196
Tmem82,-0.034221419,3.321678851,-0.375849822,0.71288406,0.891037233,-6.173879496,9.284347333,9.0667096,-0.034221419
Fgfr1op2,-0.034225806,4.482383522,-0.217915492,0.830762998,0.941079122,-6.222047593,22.36850667,21.844092,-0.034225806
