,logFC,AveExpr,t,P.Value,adj.P.Val,B,Mean_NT,Mean_Angptl3,log2FC_Angptl3_vs_NT
Fam83f,4.340108045,1.20166596,4.28319483,0.000824842,0.053659834,-0.382462866,0.111511857,2.258519042,4.340108045
Hotairm1|Hotairm2,3.980966788,0.435645415,2.910222917,0.01179887,0.161217533,-2.88282354,0.040552367,0.6403341,3.980966788
1700048O20Rik,3.651851264,0.629898867,4.291057182,0.000812658,0.053630183,-0.368420557,0.0776663,0.9762238,3.651851264
Gm7027,3.592294566,0.373241331,2.88331728,0.012433164,0.165935691,-2.9313939,0.046339433,0.55890648,3.592294566
Cfd,3.341980386,0.847064842,0.792100776,0.442035165,0.752626425,-5.929559862,0.129971533,1.31790646,3.341980386
Spata45,3.326272521,0.55776997,2.902883802,0.011968655,0.163188008,-2.896080537,0.0821466,0.82394344,3.326272521
Gm5741,3.204723809,0.831831007,3.281687805,0.005711813,0.115730375,-2.205891223,0.126726133,1.16838018,3.204723809
Gm22378,3.135056938,1.294829044,3.072436639,0.00859859,0.14178066,-2.58842599,0.359861,3.161411,3.135056938
Arrdc3,3.095435669,4.785991591,10.5028934,7.33E-08,0.000935183,7.892431486,6.733060333,57.5481666,3.095435669
Gm46495,2.976712987,0.449980422,2.173815037,0.048099312,0.307999708,-4.163766832,0.097623233,0.76848092,2.976712987
Obox4-ps3,2.952890648,1.937242388,5.799153994,5.38E-05,0.017376108,2.173235569,0.577493767,4.47152806,2.952890648
Mup10,2.92962069,0.62509002,1.497884429,0.157237767,0.503668614,-5.176097328,0.190381697,1.450537292,2.92962069
Mir1932,2.89211616,1.585294056,1.82690276,0.089960666,0.400379529,-4.710654817,0.58357,4.3321818,2.89211616
Mup15,2.811898092,0.864668865,1.766514738,0.099959175,0.418578737,-4.800418331,0.615085133,4.319176,2.811898092
Vmn1r90,2.794839318,0.610209285,3.280738303,0.005722427,0.115730375,-2.207631414,0.12377624,0.858949748,2.794839318
4933417D19Rik,2.756164941,1.297444148,6.641528893,1.35E-05,0.010170397,3.439121796,0.373029733,2.52018122,2.756164941
A930024E05Rik,2.732637114,0.472657721,4.617571521,0.000440646,0.042927628,0.208599916,0.106194367,0.705841552,2.732637114
H1f4,2.714467867,0.693610109,3.210191252,0.006568856,0.124127503,-2.336837629,0.153073573,1.004700164,2.714467867
Rpsa-ps2,2.670183187,0.346378491,1.799906764,0.094314416,0.410798831,-4.751004854,0.0596833,0.37989018,2.670183187
Cldn20,2.62836448,0.586550414,3.363578935,0.00486688,0.107831807,-2.055721367,0.123501167,0.76363814,2.62836448
Obox4-ps2,2.574857857,1.805375541,3.420579182,0.004353996,0.103861107,-1.951131566,0.7413227,4.41689168,2.574857857
Spatc1l,2.56038693,0.949657934,4.531715684,0.000516986,0.046799837,0.058097218,0.3030914,1.78783272,2.56038693
Gm23111,2.540450475,0.936567924,2.076391553,0.057529438,0.333471067,-4.322220686,0.380424667,2.213199,2.540450475
Dlec1,2.524994494,0.558092236,2.080862151,0.057061592,0.332368798,-4.315025945,0.130395233,0.75051746,2.524994494
Mtnr1a,2.516792178,1.025913299,3.685323215,0.0025995,0.082937042,-1.465658624,0.295799063,1.692882182,2.516792178
Cyp2d36-ps,2.500532268,3.701910294,5.061953916,0.000195535,0.030630684,0.971890625,4.397391,24.8845792,2.500532268
Rps15a-ps7,2.482224782,0.534012643,2.188305156,0.046826715,0.304209765,-4.139912134,0.101899467,0.5693719,2.482224782
Gm17936,2.478020579,0.854576792,3.997875786,0.001421266,0.065011443,-0.89604737,0.250784867,1.3972041,2.478020579
Gm11266,2.434639236,1.472482176,4.809475393,0.000309302,0.037487936,0.541562014,0.528545933,2.85747326,2.434639236
Nodal,2.433772295,0.593183973,4.725487468,0.000360921,0.038706509,0.396439958,0.176545833,0.95388482,2.433772295
Rfx4,2.39932834,0.558067013,2.518101632,0.025161123,0.227200553,-3.579881336,0.147999527,0.780782604,2.39932834
Gm2602,2.359921346,2.343217022,4.403750969,0.000657025,0.05170568,-0.167875851,1.438175133,7.38276234,2.359921346
Timp1,2.345629607,0.440463424,1.949056231,0.072434956,0.368991685,-4.523817835,0.134947933,0.68591628,2.345629607
Gm22866,2.298721346,0.460910126,1.522632851,0.150987191,0.497264136,-5.143229288,0.234837133,1.15544918,2.298721346
Gm26493,2.283993667,0.803197563,1.289325784,0.21899526,0.575776166,-5.437389381,0.2937102,1.43043996,2.283993667
Ighv7-3,2.274666849,0.614326224,1.377133429,0.190936541,0.545252213,-5.33090813,0.2257916,1.09257368,2.274666849
Angptl8,2.271783417,7.693332985,4.948349697,0.000240102,0.032948161,0.779387251,56.94739,275.010184,2.271783417
Nkx2-6,2.222084864,1.307775183,2.598858748,0.021555039,0.212093603,-3.438557124,0.421648433,1.96727326,2.222084864
Fgf21,2.163665679,1.259989956,3.254050027,0.00602898,0.118920925,-2.256532261,0.5304821,2.37683484,2.163665679
A930038B10Rik,2.148380786,0.72074364,4.204522719,0.000957615,0.056579091,-0.523319344,0.225445433,0.9994671,2.148380786
H4c12,2.145469803,1.684401011,1.914020061,0.077114852,0.378034262,-4.578096301,0.783757333,3.46762706,2.145469803
Gm25134,2.140707247,0.781923495,1.104456391,0.288742806,0.641751253,-5.643417996,0.249653667,1.10091818,2.140707247
Blm,2.121436722,0.948477203,4.320390801,0.000768811,0.053209971,-0.316087472,0.362525533,1.57744668,2.121436722
Gm44851,2.107504444,1.461557281,5.251382413,0.000139376,0.026128846,1.288632407,0.607522033,2.61808708,2.107504444
Msln,2.09566994,0.65078552,1.836591236,0.088442612,0.397851468,-4.696087972,0.173911567,0.74334082,2.09566994
5930430L01Rik,2.09559238,0.781499635,3.415647092,0.004396139,0.104020614,-1.960182495,0.240641833,1.0285071,2.09559238
Mir7085,2.091903242,3.358395501,3.582475897,0.003175076,0.090112132,-1.654094903,2.826566,12.0499364,2.091903242
Rpl36a-ps1,2.088298504,0.856831094,4.220631051,0.000928746,0.056173724,-0.494428287,0.298512367,1.26941264,2.088298504
Uts2,2.047163741,0.526327481,1.867633073,0.083732488,0.389560401,-4.649116527,0.171869667,0.71032472,2.047163741
Ptk6,2.032365033,0.716905199,3.650223413,0.00278297,0.085581353,-1.52993143,0.233446033,0.95496914,2.032365033
1500011B03Rik|2610524H06Rik,2.024996413,0.831743493,3.921669021,0.001645593,0.069899072,-1.034375778,0.303935067,1.23698796,2.024996413
Mir145a,2.011588805,1.570919646,1.503426014,0.155819472,0.502249012,-5.168770338,1.187605,4.7887326,2.011588805
Nat8f7,1.967827292,0.959112898,0.899741077,0.384068398,0.717410459,-5.84028628,0.416220793,1.6281665,1.967827292
Bbs12,1.962281132,0.464213862,3.223746209,0.006397033,0.122534463,-2.312026862,0.1480008,0.57672602,1.962281132
1700092C10Rik,1.957427054,1.346813804,2.453839504,0.028439131,0.242283171,-3.691298112,0.624606467,2.42577622,1.957427054
Mup19,1.94810679,5.098994173,4.47561433,0.000574143,0.047579327,-0.040734665,18.53568333,71.52324,1.94810679
Mir6905,1.908426023,1.151590645,1.228995975,0.240121008,0.596888257,-5.507406898,0.570637,2.1421674,1.908426023
Igfbp6,1.889153563,1.0939221,2.048993825,0.060474937,0.340892732,-4.366145568,0.392610733,1.45430018,1.889153563
Gm18113,1.867968683,0.723775897,3.010720991,0.009699716,0.148426595,-2.700716993,0.400842733,1.46314922,1.867968683
Ltc4s,1.861790984,0.609977468,2.812953612,0.014254848,0.175938467,-3.057991054,0.2141661,0.77840508,1.861790984
Upk3b,1.857484482,0.509328446,1.665292665,0.118940227,0.449752645,-4.946698797,0.13390699,0.485245812,1.857484482
Pgbd1,1.836939322,0.443915809,3.320819925,0.005291117,0.111061247,-2.134150501,0.161142097,0.575682262,1.836939322
Tff1,1.832443707,0.88386981,3.411215226,0.004434358,0.104020614,-1.968315351,0.450926433,1.60592854,1.832443707
E230016M11Rik,1.827915625,1.031869512,4.508250773,0.000540142,0.046893132,0.016805896,0.406333833,1.4425817,1.827915625
Dkk4,1.812281376,1.233087936,3.556322854,0.003341011,0.092691273,-1.702056705,0.658109867,2.31126348,1.812281376
Slc13a2,1.806382657,1.158983522,4.746201975,0.000347412,0.038706509,0.432320723,0.6770088,2.36793446,1.806382657
Frs3os,1.80429561,0.441819777,1.85825925,0.085130452,0.391790419,-4.663348327,0.1532157,0.535119,1.80429561
C2cd4d,1.751529502,1.412419209,5.520295471,8.69E-05,0.020166512,1.728833694,0.687570133,2.3151542,1.751529502
Skida1,1.746159737,0.594527559,3.842618645,0.00191669,0.072819247,-1.178283118,0.239807413,0.804468538,1.746159737
Slc7a15,1.745685986,0.665644249,3.179437718,0.006975973,0.127417119,-2.393097226,0.261632813,0.877396822,1.745685986
Gmpr,1.740436814,0.552422358,3.263585787,0.005917605,0.117450187,-2.239062635,0.239252763,0.799430384,1.740436814
Gm11964,1.735439113,0.544307827,1.352124485,0.198612131,0.552890799,-5.361774327,0.2082565,0.69345422,1.735439113
Ighv9-3,1.731765314,1.251857975,1.373097341,0.192158578,0.545581209,-5.335918035,0.8324468,2.76483866,1.731765314
Lcn12,1.722384794,0.566722265,1.746235181,0.103532011,0.424272715,-4.830153924,0.208409,0.68771098,1.722384794
Gm15222,1.716495367,0.457426185,2.576910641,0.022482387,0.216398813,-3.477102011,0.16839772,0.55341739,1.716495367
Rab36,1.700758796,1.488387327,4.286849789,0.000819155,0.053630183,-0.375934239,0.762654733,2.47917614,1.700758796
Ppp1r3c,1.679033891,4.26342367,4.813352198,0.000307113,0.037487936,0.548237571,8.184751667,26.2086754,1.679033891
4930502E09Rik,1.672258482,0.509890505,1.59775297,0.133293468,0.473841571,-5.041207781,0.105813467,0.33724142,1.672258482
Gm20522,1.669695215,0.904313726,2.460203375,0.028097064,0.240815802,-3.680308414,0.3830316,1.21860498,1.669695215
Gm8055,1.658695554,0.802281274,2.127603447,0.052376945,0.319825157,-4.23935572,0.379405,1.1978989,1.658695554
Gm24313,1.644122483,0.392901439,0.719666035,0.484036619,0.778190393,-5.98381949,0.300335233,0.93872086,1.644122483
Igkv4-91,1.64355267,0.705625234,1.113029177,0.285173502,0.639776884,-5.634435597,0.293415067,0.9167292,1.64355267
4933431G14Rik,1.640581259,0.682728473,2.449515039,0.02867385,0.242894149,-3.698760303,0.297470973,0.927488994,1.640581259
Igkv4-59,1.640248012,0.7782126,2.191247892,0.046572149,0.303396511,-4.135058864,0.3939869,1.22813366,1.640248012
Gm24837,1.633015108,0.798889098,0.921534916,0.372989568,0.709949095,-5.820985371,0.648411,2.011115,1.633015108
A930007I19Rik,1.632042072,0.474923851,2.925699673,0.011448571,0.159924042,-2.854847249,0.173666323,0.538281222,1.632042072
Gm23341,1.630196111,0.594786655,1.119723302,0.282409576,0.637782872,-5.627381811,0.4118,1.2747478,1.630196111
Trim80,1.629409545,1.300338737,3.625710159,0.002918842,0.087285702,-1.574842949,0.778569533,2.40878786,1.629409545
Mir7651,1.624798071,1.866700815,2.915065646,0.011688139,0.160711843,-2.874072538,1.923077333,5.9307512,1.624798071
Gm25364,1.622746944,1.001681534,1.488723996,0.159606145,0.50775611,-5.188167384,0.7466278,2.2993213,1.622746944
Gm26424,1.614755439,2.76363065,2.268390463,0.040344295,0.283268665,-4.006817701,3.466634667,10.6169042,1.614755439
Gm22422,1.608007943,0.515040525,1.109561633,0.286613202,0.640812489,-5.63807573,0.3078976,0.93856624,1.608007943
2410022M11Rik,1.597969141,1.809564541,3.436840087,0.00421791,0.102208563,-1.921290375,1.1396815,3.45000832,1.597969141
Txnip,1.596865544,5.283612645,3.722019638,0.002420783,0.080453209,-1.398511916,19.25077,58.23077,1.596865544
Gm22858,1.58885386,0.850552138,1.141163997,0.27369325,0.628214614,-5.604555625,0.546923333,1.6452016,1.58885386
Rgs16,1.585879193,4.880621168,1.535088856,0.147921816,0.493407793,-5.126545253,16.002296,48.0374014,1.585879193
Gm25259,1.56365666,0.345581017,1.232128254,0.238986025,0.595458737,-5.503836433,0.2153688,0.63663476,1.56365666
C730027H18Rik,1.560081,2.118751856,6.639819913,1.35E-05,0.010170397,3.436670322,1.910214667,5.6326576,1.560081
Igkv6-32,1.556314722,0.796768922,2.019307791,0.063823029,0.349675521,-4.413407226,0.574003233,1.6881528,1.556314722
Mir365-2,1.555066681,2.193355248,2.714869715,0.017237301,0.193136462,-3.233295026,2.623307,7.708517,1.555066681
Ptgds,1.555026997,1.221666683,2.946508827,0.010993704,0.156978464,-2.817190803,0.8439153,2.47975418,1.555026997
Capn11,1.546500414,0.809075968,1.009442886,0.330560249,0.678158796,-5.739066395,0.49779636,1.454101526,1.546500414
Zfp608,1.5383121,0.927587871,3.164983923,0.007175918,0.128275455,-2.419522294,0.5489061,1.59432238,1.5383121
Mir7001,1.531843759,1.466046632,1.782993411,0.097137029,0.414054325,-4.776102681,1.011255333,2.9240968,1.531843759
Gm3776,1.531735758,0.452025261,2.036736583,0.061837239,0.345066397,-4.385702104,0.215303133,0.62251348,1.531735758
B4galnt3,1.526803821,1.399698092,3.559039873,0.003323372,0.092691273,-1.697073359,0.839364933,2.4186029,1.526803821
Apoc2,1.520479542,3.804766988,9.774373747,1.74E-07,0.001108035,7.201091702,7.121862,20.431653,1.520479542
Gm15408,1.51855253,2.332383118,4.286656153,0.000819455,0.053630183,-0.376280084,2.000630333,5.731875,1.51855253
1700113B09Rik,1.515564895,0.873471128,3.06385375,0.008743957,0.14207605,-2.604060656,0.376010533,1.07505456,1.515564895
Bglap3,1.510483773,0.441267357,2.042201474,0.0612264,0.343249571,-4.376990134,0.209946037,0.598147932,1.510483773
2810021J22Rik,1.50699143,1.181838721,4.785641325,0.000323121,0.037487936,0.50047641,0.649147733,1.8449864,1.50699143
Rnls,1.506750241,1.121436732,4.081932109,0.001209813,0.060980704,-0.743988888,0.586382467,1.66631842,1.506750241
Gm11837,1.502804039,1.046379783,3.393634096,0.004589296,0.10591066,-2.000576918,0.492488233,1.3956771,1.502804039
Mogat1,1.498072379,0.560009989,1.354876139,0.197755478,0.552123258,-5.358398945,0.1801289,0.508801192,1.498072379
R3hdml,1.496127367,1.917759795,2.462736046,0.027962029,0.240661721,-3.67593202,1.859822167,5.24626996,1.496127367
F3,1.494637871,2.315545765,4.428594889,0.000627059,0.050648913,-0.123854351,1.927156,5.4305986,1.494637871
Snord87,1.474534248,0.628636199,0.582007111,0.57017956,0.826061883,-6.073565594,0.459133333,1.2759036,1.474534248
Gm22753,1.473448414,2.587233501,2.71499719,0.017233054,0.193136462,-3.233068169,3.098509667,8.6040916,1.473448414
Clic3,1.472980725,1.608404739,2.878135723,0.012559118,0.166610674,-2.940737872,1.2709266,3.5280266,1.472980725
Smpdl3b,1.466359447,0.573778944,2.150919227,0.050176214,0.313572194,-4.201311916,0.23209,0.64131974,1.466359447
Gm2614,1.461394574,0.8898725,2.413614719,0.030695303,0.25208073,-3.760527925,0.4125675,1.13610538,1.461394574
Tsc22d1,1.454232453,3.492053075,3.494929479,0.003765825,0.097498913,-1.814689544,5.465833667,14.9769714,1.454232453
Gm4705,1.443737447,0.767276296,1.98757874,0.067589272,0.356993512,-4.46352855,0.347674933,0.94576156,1.443737447
Klf10,1.433576963,4.395294097,2.879051986,0.012536755,0.166568908,-2.939085797,8.723524667,23.563601,1.433576963
Ccn1,1.419671702,3.21781093,5.40207081,0.000106837,0.022724213,1.536692956,4.39873,11.767686,1.419671702
Mycn,1.418338098,1.391683863,2.506557661,0.025721904,0.230359953,-3.599967088,0.852148933,2.2776019,1.418338098
AA465934,1.417636212,0.508531178,1.401519239,0.183688077,0.536495582,-5.300407311,0.2247234,0.60034282,1.417636212
Gm12718,1.411696329,2.398499552,2.380294448,0.032692721,0.258541425,-3.817557831,2.166637667,5.76433522,1.411696329
Mir7078,1.407428075,1.323699444,1.451025153,0.169671212,0.519391703,-5.237286751,1.641290667,4.3537508,1.407428075
Foxl3,1.405457299,1.269405932,3.415341988,0.004398759,0.104020614,-1.960742392,0.683999933,1.8119277,1.405457299
Mup17,1.403986416,8.89024405,3.505516699,0.003688854,0.096787534,-1.795262827,268.5587333,710.6918,1.403986416
Mir5107,1.398567947,1.149297292,0.560095751,0.584613426,0.835105948,-6.086195569,0.944685667,2.490567,1.398567947
G0s2,1.396977879,6.523750016,4.045466765,0.001297281,0.063190472,-0.809884362,43.06261,113.405102,1.396977879
Gm6520,1.391790415,0.436923759,0.930374514,0.368559426,0.706468526,-5.813041426,0.229481633,0.60216928,1.391790415
Exo5,1.383149215,1.809869453,6.211544139,2.70E-05,0.012860557,2.807391478,1.363362167,3.55615466,1.383149215
Ppargc1b,1.3759739,1.857614469,3.460102359,0.004030645,0.100271129,-1.878600114,1.600897567,4.1550185,1.3759739
Gsta1,1.37315188,0.472134773,1.114396107,0.284607463,0.639577467,-5.632998057,0.252394467,0.6537922,1.37315188
Chic1,1.37231838,0.639032317,3.722712,0.002417534,0.080453209,-1.397245574,0.3094808,0.80120326,1.37231838
Sstr2,1.369111932,1.610544558,3.994558561,0.001430347,0.065157153,-0.902059784,1.492458733,3.8551927,1.369111932
Clec2h,1.367898593,1.384911711,1.119068874,0.282678886,0.637904059,-5.628072936,0.776442433,2.0039541,1.367898593
1700003E16Rik,1.366856541,1.337600025,3.623808954,0.002929657,0.087285702,-1.578326964,0.8367288,2.15799054,1.366856541
Gm15343,1.363086584,3.917350866,4.363444776,0.00070882,0.05170568,-0.239443401,7.969339333,20.4999248,1.363086584
Alkbh3os1,1.357746001,0.617125763,2.27803505,0.039623307,0.282595184,-3.990651684,0.32325704,0.82845756,1.357746001
Rasl11b,1.356599529,1.705980341,5.489859968,9.16E-05,0.020683837,1.679579766,1.373605333,3.5175406,1.356599529
Gm23205,1.356111253,1.417773819,1.707765992,0.110620947,0.434003419,-4.885977134,1.301282333,3.3312076,1.356111253
Gm24644,1.35075221,2.943328247,4.028000744,0.001341445,0.064601946,-0.841485517,3.558000467,9.07450476,1.35075221
A330023F24Rik,1.343703499,1.206609239,5.1772645,0.000159027,0.027548519,1.165342992,0.730750033,1.85465828,1.343703499
5430403G16Rik,1.340546194,0.827819715,4.032261025,0.001330532,0.064563705,-0.833775148,0.4085128,1.03454714,1.340546194
D930048N14Rik,1.340087552,2.700998875,4.069312364,0.001239379,0.061808861,-0.766781056,3.389554,8.5812214,1.340087552
Zfp13,1.333013187,0.766836059,3.444230388,0.004157486,0.101984233,-1.90772789,0.355002833,0.8943526,1.333013187
Mterf1b,1.332856699,0.964820508,3.343149024,0.00506514,0.110102813,-2.093198406,0.5462005,1.37588438,1.332856699
4930405A21Rik,1.331321794,0.410733066,1.396116384,0.185274165,0.537928277,-5.307199047,0.184771493,0.464946266,1.331321794
Bik,1.320225111,2.266929606,4.373684034,0.000695276,0.05170568,-0.221245452,2.408172333,6.0133284,1.320225111
Snhg10,1.319656365,0.821565042,1.75943616,0.101193653,0.419970845,-4.81082133,0.383678833,0.95768788,1.319656365
Gm6745,1.316168934,0.547786625,1.048292495,0.312958156,0.662368159,-5.700832036,0.237069433,0.59031238,1.316168934
Gm22881,1.312792684,2.169387283,2.695048691,0.017910104,0.196702876,-3.26853564,1.5964271,3.96587542,1.312792684
H4c11,1.312217799,0.46230583,1.550936692,0.144098431,0.488053126,-5.10518291,0.222680933,0.55296794,1.312217799
Ndufa4l2,1.309464396,1.622711678,3.338799144,0.005108389,0.110123747,-2.101176975,1.101633333,2.7303928,1.309464396
Gm18290,1.306540232,1.056860419,1.676870733,0.116619841,0.445599523,-4.930242935,0.6306307,1.55985026,1.306540232
Gpr84,1.301186928,0.534509018,2.846880977,0.01334592,0.170351577,-2.997029505,0.261666263,0.64482821,1.301186928
Smad9,1.300554125,1.9890328,2.589763309,0.021934758,0.214300424,-3.454542253,1.567046267,3.86000282,1.300554125
Tspyl4,1.299769332,0.79700447,2.555047363,0.023444437,0.219998857,-3.515398901,0.4005385,0.9860838,1.299769332
Gm24261,1.292935159,0.767180471,1.815181295,0.091828446,0.40592817,-4.728217991,1.010025,2.4748244,1.292935159
Mfap4,1.290655289,0.518719347,2.46622296,0.027777135,0.240007987,-3.669904169,0.24992912,0.611424472,1.290655289
Fam89a,1.289171896,1.982205901,3.490792675,0.003796339,0.097784921,-1.822280519,1.809358533,4.42185038,1.289171896
Cct6b,1.272386962,0.805170329,3.21345274,0.006527096,0.123976998,-2.330868583,0.438274833,1.05870064,1.272386962
6430550D23Rik,1.270929559,0.696711726,3.789655085,0.002123412,0.076767673,-1.274909392,0.3252312,0.78483818,1.270929559
4933431E20Rik,1.266269659,0.695427098,3.335304303,0.005143405,0.110306091,-2.107586964,0.393897,0.94747514,1.266269659
2900005J15Rik,1.261102156,1.852716575,5.669400249,6.72E-05,0.018805877,1.968003926,1.456861667,3.4917882,1.261102156
Gm23645,1.259853255,1.614081338,1.206398873,0.248434793,0.605575042,-5.532951608,1.109572,2.6571074,1.259853255
Ighv1-55,1.255663714,0.699683991,0.86700274,0.40112853,0.726309618,-5.868511724,0.4270357,1.01966292,1.255663714
Bbs10,1.252977384,1.946423993,6.126717011,3.11E-05,0.013676914,2.679209915,1.686267,4.018927,1.252977384
Igfbp5,1.252511858,1.75767201,2.751881714,0.01604635,0.187625673,-3.167317148,1.1717047,2.79165542,1.252511858
Mir5620,1.241640439,2.673637853,3.000059293,0.009903622,0.149540185,-2.720083166,4.562275333,10.7882874,1.241640439
4933440J02Rik,1.240421478,0.933069067,2.589099667,0.021962716,0.214300424,-3.455707943,0.468643567,1.10725266,1.240421478
Mir23b,1.238144392,0.695100276,0.570143699,0.577970943,0.830263977,-6.080461023,0.561705,1.3250336,1.238144392
Gm17634,1.237281338,0.755584494,1.829517846,0.089548632,0.399912854,-4.706727403,0.347100433,0.81830264,1.237281338
1810062G17Rik,1.235420978,0.978668305,1.786092545,0.096614261,0.413894329,-4.77151447,0.5608944,1.3206261,1.235420978
Pkdrej,1.232033012,0.86605699,2.656522276,0.019291763,0.203248897,-3.336838518,0.455366333,1.06964536,1.232033012
Zc3h6,1.23191616,0.699904773,1.990561364,0.067226747,0.356436104,-4.458834614,0.339182067,0.79666658,1.23191616
Ffar4,1.228727906,0.477769363,2.208957489,0.045067329,0.298468732,-4.105790134,0.267844013,0.627719906,1.228727906
Gm16063,1.22476786,1.033806116,2.327368937,0.036121894,0.270837529,-3.90752094,0.639692077,1.495074504,1.22476786
1810041H14Rik,1.224605696,0.675064672,1.509498537,0.154277722,0.500099643,-5.160719607,0.300220233,0.70158938,1.224605696
Gm11714,1.223758882,0.443385834,1.525957144,0.150163863,0.496088847,-5.138785808,0.227994233,0.53249066,1.223758882
Bmf,1.222994078,1.919642933,2.273227578,0.039981159,0.282850966,-3.998713428,1.628042333,3.80035,1.222994078
Mir8094,1.222259419,1.144719473,1.383272063,0.189090123,0.542894972,-5.323267462,1.051939633,2.45429954,1.222259419
Ifi206,1.221577121,0.553567343,2.828863506,0.013821292,0.172177766,-3.029422992,0.3140491,0.73236724,1.221577121
Recql4,1.221211951,1.031514047,3.262071247,0.005935155,0.117615612,-2.241837499,0.599112133,1.39678494,1.221211951
Gm32540,1.218770535,0.908173285,1.951622352,0.072102568,0.368052204,-4.519821375,0.5950959,1.3850755,1.218770535
Gm13394,1.218493689,0.584426552,1.933372168,0.074497022,0.373421442,-4.548182187,0.340241333,0.79175392,1.218493689
Wnt5a,1.212827046,0.475342794,2.05415006,0.059910174,0.339107219,-4.357901137,0.235065267,0.544861076,1.212827046
2210039B01Rik,1.212395281,2.799951491,3.593090571,0.003110131,0.090058264,-1.634632977,4.071554667,9.4346896,1.212395281
Ntrk1,1.211043065,0.823670441,1.509629722,0.154244559,0.500099643,-5.160545437,0.384305167,0.8896855,1.211043065
1810046K07Rik,1.210428331,1.315685782,2.420536006,0.030295272,0.250569193,-3.748645158,0.746452657,1.727338702,1.210428331
Gm4853,1.21020696,0.583679872,1.762020767,0.100741348,0.419551563,-4.807025818,0.3041466,0.7037065,1.21020696
Cyp7a1,1.206439978,5.970576126,2.874081445,0.012658545,0.16754995,-2.948046731,39.258106,90.5949448,1.206439978
B230217O12Rik,1.205804274,1.300991564,2.780038326,0.015194569,0.182592363,-3.116981609,0.967147533,2.23087884,1.205804274
Gpm6a,1.198584961,0.68781615,1.997390723,0.066403369,0.353600943,-4.448072974,0.333713593,0.765920906,1.198584961
4930506C21Rik,1.198481762,1.25245123,3.298118467,0.005531236,0.113381353,-2.175773929,0.785321533,1.80229744,1.198481762
Gm25973,1.194938295,0.827361798,0.585769379,0.567720361,0.824166448,-6.07135068,0.740846267,1.6960567,1.194938295
2210416O15Rik|Cuedc1,1.187265168,0.495189209,2.475751412,0.027277848,0.237075483,-3.653417318,0.2237856,0.50960604,1.187265168
Fmod,1.187076481,0.523843721,1.470670244,0.164361843,0.513388541,-5.211802216,0.230188933,0.5241192,1.187076481
Mir466i,1.186460741,0.606556348,0.538058592,0.599318923,0.839849357,-6.098431921,0.687044233,1.56366952,1.186460741
Scara3,1.185835677,0.685252768,2.803594039,0.014516106,0.177446885,-3.074780925,0.358636033,0.81587952,1.185835677
Lad1,1.183250564,2.996528302,3.87737184,0.001792298,0.071845087,-1.114967911,4.456722667,10.120676,1.183250564
Gm10054,1.181457505,0.456365922,0.64681431,0.528625526,0.803129232,-6.033531119,0.2183004,0.49511796,1.181457505
D830035M03Rik,1.177539856,0.537322229,1.403363644,0.183149196,0.535929179,-5.298084362,0.276388133,0.62516436,1.177539856
Gm24400,1.173776922,1.849464963,1.842285062,0.087561227,0.397811562,-4.687506287,2.402887833,5.42095198,1.173776922
Cited4,1.173490193,0.833605613,2.069799306,0.058225791,0.334938163,-4.332815995,0.444983333,1.00368976,1.173490193
Npb,1.171394115,1.053729976,2.581704918,0.022276583,0.215495157,-3.468690773,0.6449721,1.45266574,1.171394115
Zbtb7c,1.170117488,1.568144944,2.409898796,0.030912149,0.252429135,-3.766902467,1.585745,3.56840232,1.170117488
Igkv6-23,1.163272128,1.174110314,1.827373202,0.089886418,0.400379529,-4.709948536,1.006734767,2.2547317,1.163272128
Zc3h12d,1.162969947,1.363013111,3.478189873,0.003890846,0.098489858,-1.84540724,0.9477009,2.12207208,1.162969947
Gldn,1.162320458,1.355784679,1.422490145,0.177637614,0.530419098,-5.273863652,1.010354163,2.261345692,1.162320458
Chrna1os,1.160422677,2.491599132,3.837057596,0.001937396,0.072819247,-1.188421242,2.638564667,5.8977964,1.160422677
Gm36245,1.155761721,1.089233059,1.452186389,0.169353433,0.519041428,-5.235787166,1.020443733,2.27356832,1.155761721
Gm11827,1.145632408,0.574183725,1.733007351,0.105922966,0.4271712,-4.849436017,0.28236571,0.624714628,1.145632408
Atp6v0e2,1.142767475,0.608205629,2.821590978,0.014017844,0.173516709,-3.042485947,0.335445137,0.74067688,1.142767475
Pld6,1.139456586,1.908053933,4.015488865,0.001374025,0.064663593,-0.864138195,1.611678333,3.5504956,1.139456586
Tlr5,1.139016256,2.076441929,3.800481737,0.002079384,0.075604252,-1.255144873,1.730031667,3.8100626,1.139016256
Gpx7,1.136363163,1.390533078,2.758261622,0.015849348,0.186595371,-3.155922367,0.932518733,2.04992024,1.136363163
Ankrd23,1.1357528,0.393653515,1.613536627,0.129811405,0.466531441,-5.019352207,0.181952547,0.399810136,1.1357528
Trim5,1.134210054,0.910768083,3.736693959,0.002352857,0.079227335,-1.371676769,0.566485167,1.24342556,1.134210054
Gpsm1,1.133842623,0.625249855,2.973115223,0.010438034,0.153291351,-2.768978167,0.2903553,0.63716278,1.133842623
Gm12258,1.131464744,1.109719908,4.778202766,0.000327564,0.037661021,0.487637834,0.746942133,1.63640872,1.131464744
Gm4950,1.13003932,0.355435605,0.952686201,0.357540353,0.696551024,-5.792696222,0.1292705,0.2829275,1.13003932
