Category,ID,Term,Count,List Total,Pop Hits,Genes,Pop Total,P-Value,Benjamini,Fold Enrichment,Bonferroni,FDR,Fisher Exact
KEGG_PATHWAY,mmu04979,Cholesterol metabolism,5,41,51,"ABCG8,ABCG5,APOC2,ANGPTL8,CYP7A1",11151,3.14E-05,3.24E-03,26.66,3.23E-03,3.24E-03,1.08E-06
GOTERM_BP_DIRECT,GO:0008284,positive regulation of cell population proliferation,8,115,654,"RECQL4,TXNL4B,NKX2-6,MYCN,TSC22D1,IHH,HES1,PROK1",26481,2.31E-02,1.00E+00,2.82,1.00E+00,1.00E+00,7.79E-03
KEGG_PATHWAY,mmu04210,Apoptosis,7,106,136,"NFKBIA,DDIT3,EIF2AK3,GZMB,CFLAR,FOS,GADD45G",11151,1.77E-03,3.58E-02,5.41,2.98E-01,3.42E-02,3.07E-04
KEGG_PATHWAY,mmu05202,Transcriptional misregulation in cancer,7,106,219,"IL1R2,DDIT3,NFKBIZ,REL,GZMB,MMP9,GADD45G",11151,1.72E-02,2.16E-01,3.36,9.69E-01,2.06E-01,4.83E-03
